"League","Away Team","S","EX","EN","F","I","R","Score","Results","Home Team","S","EX","EN","F","I","R","Score","Results"
"NHL","Flames","34.0","23.0","55.0","44.0","51.0","29.0","2.0","L","Blues","34.0","24.0","52.0","37.0","52.0","31.0","5.0","W"
"NHL","Sabres","31.0","29.0","47.0","33.0","52.0","27.0","1.0","L","Blue Jackets","32.0","28.0","48.0","35.0","52.0","29.0","5.0","W"
"NBA","Nuggets","29.0","26.0","47.0","30.0","52.0","28.0","93.0","L","Hornets","34.0","27.0","47.0","34.0","52.0","33.0","110.0","W"
"NBA","Timberwolves","34.0","31.0","49.0","33.0","52.0","34.0","101.0","L","Pistons","36.0","33.0","51.0","36.0","52.0","37.0","122.0","W"
"NBA","Rockets","29.0","37.0","45.0","28.0","51.0","25.0","105.0","W","76ers","39.0","30.0","51.0","32.0","53.0","40.0","104.0","L"
"MLB","Mariners","33.0","26.0","47.0","41.0","51.0","25.0","2.0","L","Blue Jays","37.0","24.0","55.0","43.0","52.0","35.0","3.0","W"
"MLB","Braves","35.0","38.0","49.0","39.0","53.0","29.0","1.0","L","Marlins","34.0","34.0","48.0","34.0","53.0","30.0","3.0","W"
"MLB","Rays","31.0","28.0","49.0","35.0","51.0","26.0","7.0","W","Indians","35.0","25.0","58.0","45.0","52.0","32.0","4.0","L"
"MLB","Astros","32.0","22.0","48.0","35.0","50.0","28.0","3.0","W","Marlins","34.0","23.0","47.0","33.0","52.0","30.0","0.0","L"
"MLB","Mets","30.0","27.0","44.0","36.0","50.0","25.0","4.0","L","Diamondbacks","30.0","29.0","49.0","38.0","51.0","26.0","5.0","W"
"MLB","Athletics","32.0","27.0","45.0","38.0","49.0","27.0","2.0","L","Rangers","35.0","23.0","51.0","38.0","50.0","29.0","5.0","W"
"MLB","Mets","40.0","28.0","52.0","40.0","50.0","35.0","4.0","L","Brewers","39.0","29.0","58.0","42.0","50.0","37.0","7.0","W"
"MLB","Cubs","36.0","26.0","44.0","36.0","52.0","30.0","3.0","L","Cardinals","39.0","36.0","55.0","44.0","53.0","37.0","5.0","W"
"MLB","Reds","42.0","62.0","58.0","45.0","52.0","45.0","1.0","L","Giants","46.0","43.0","57.0","46.0","53.0","51.0","3.0","W"
"MLB","Twins","34.0","65.0","46.0","38.0","50.0","34.0","4.0","W","Indians","35.0","20.0","56.0","40.0","50.0","39.0","1.0","L"
"MLB","Yankees","35.0","24.0","45.0","37.0","55.0","28.0","12.0","W","Blue Jays","37.0","31.0","45.0","38.0","55.0","33.0","2.0","L"
"MLB","Diamondbacks","33.0","28.0","46.0","33.0","52.0","32.0","3.0","W","Marlins","35.0","26.0","46.0","32.0","52.0","32.0","2.0","L"
"MLB","Twins","34.0","28.0","48.0","39.0","52.0","32.0","4.0","W","Angels","36.0","31.0","46.0","34.0","53.0","34.0","2.0","L"
"MLB","Cardinals","33.0","24.0","54.0","39.0","49.0","28.0","2.0","L","Cubs","34.0","26.0","56.0","38.0","50.0","30.0","3.0","W"
"MLB","Giants","33.0","24.0","37.0","34.0","51.0","26.0","10.0","W","Phillies","35.0","26.0","41.0","36.0","52.0","31.0","0.0","L"
"MLB","Cardinals","36.0","28.0","51.0","40.0","51.0","32.0","2.0","L","Reds","40.0","33.0","53.0","42.0","53.0","38.0","4.0","W"
"MLB","Phillies","32.0","34.0","57.0","44.0","52.0","30.0","11.0","W","Braves","33.0","37.0","60.0","41.0","52.0","33.0","4.0","L"
"MLB","Cardinals","36.0","26.0","46.0","36.0","51.0","29.0","2.0","L","Reds","35.0","36.0","50.0","41.0","51.0","27.0","5.0","W"
"MLB","Angels","35.0","22.0","45.0","35.0","52.0","27.0","11.0","W","Tigers","38.0","18.0","53.0","40.0","52.0","39.0","4.0","L"
"MLB","Giants","34.0","32.0","50.0","41.0","52.0","25.0","9.0","W","Brewers","40.0","25.0","71.0","49.0","52.0","42.0","5.0","L"
"MLB","Cubs","35.0","26.0","45.0","36.0","51.0","28.0","1.0","L","Padres","40.0","23.0","58.0","48.0","52.0","37.0","2.0","W"
"MLB","Athletics","34.0","27.0","52.0","38.0","52.0","35.0","3.0","W","Indians","32.0","26.0","47.0","37.0","52.0","27.0","1.0","L"
"MLB","Yankees","35.0","28.0","52.0","34.0","52.0","35.0","4.0","L","Orioles","39.0","40.0","63.0","46.0","53.0","44.0","10.0","W"
"MLB","Brewers","43.0","35.0","66.0","52.0","53.0","44.0","7.0","W","Mets","42.0","26.0","59.0","39.0","52.0","46.0","1.0","L"
"MLB","Rays","35.0","31.0","58.0","42.0","53.0","40.0","7.0","W","Rangers","35.0","47.0","63.0","38.0","53.0","39.0","5.0","L"
"MLB","Athletics","34.0","26.0","53.0","39.0","50.0","31.0","0.0","L","Indians","33.0","25.0","49.0","37.0","51.0","32.0","8.0","W"
"MLB","Brewers","41.0","29.0","58.0","48.0","53.0","39.0","2.0","W","Mets","39.0","31.0","61.0","46.0","52.0","38.0","1.0","L"
"MLB","Dodgers","36.0","36.0","54.0","39.0","52.0","37.0","0.0","L","Cardinals","41.0","36.0","59.0","42.0","54.0","44.0","2.0","W"
"MLB","Rockies","31.0","35.0","57.0","40.0","52.0","33.0","6.0","W","Mariners","34.0","31.0","57.0","37.0","54.0","42.0","3.0","L"
"MLB","Red Sox","29.0","35.0","53.0","34.0","52.0","34.0","5.0","W","Orioles","32.0","42.0","50.0","23.0","53.0","42.0","7.0","W"
